Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
SCAN,"{'id': 'SCAN:ae67345a00117e0160a4f89c812cca4e867564d7', 'name': 'anal_roy', 'target': {'seeds': ['testasp.vulnweb.com'], 'whitelist': ['testasp.vulnweb.com'], 'blacklist': [], 'strict_scope': False, 'hash': '3cf96caace2aecf7709eae98ca92146bf9caf95e', 'seed_hash': 'e1aeac0cdbfc60a5a6c39d03213d7b1f56618db5', 'whitelist_hash': 'e1aeac0cdbfc60a5a6c39d03213d7b1f56618db5', 'blacklist_hash': 'da39a3ee5e6b4b0d3255bfef95601890afd80709', 'scope_hash': 'b907bd2dbd7fd2e347871dd02be78ced92875889'}, 'preset': {'description': 'anal_roy', 'config': {'modules': {'telegram': {}}}, 'modules': ['affiliates', 'anubisdb', 'asn', 'baddns', 'baddns_zone', 'badsecrets', 'certspotter', 'code_repository', 'crt', 'dnsbrute', 'dnsbrute_mutations', 'dnscommonsrv', 'dnsdumpster', 'docker_pull', 'dockerhub', 'filedownload', 'fingerprintx', 'git', 'gitlab_com', 'gowitness', 'hackertarget', 'httpx', 'iis_shortnames', 'ipneighbor', 'leakix', 'myssl', 'ntlm', 'nuclei', 'oauth', 'otx', 'portscan', 'rapiddns', 'robots', 'securitytxt', 'shodan_idb', 'sitedossier', 'sslcert', 'subdomaincenter', 'trufflehog', 'urlscan', 'wafw00f', 'wappalyzer', 'wayback', 'wpscan'], 'output_modules': ['asset_inventory', 'subdomains']}, 'started_at': '2025-12-03T16:36:05.752735', 'status': 'RUNNING'}",,TARGET,0,,
DNS_NAME,testasp.vulnweb.com,44.238.29.244,TARGET,0,"a-record,cloud-amazon,cloud-ip,in-scope,subdomain,target,txt-record",Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com
ORG_STUB,vulnweb,,speculate,0,,Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> speculated ORG_STUB: vulnweb
FINDING,"{'host': 'testasp.vulnweb.com', 'description': 'Shodan reported possible vulnerabilities: CVE-2014-4078'}",44.238.29.244,shodan_idb,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found potential FINDING: CVE-2014-4078"
TECHNOLOGY,"{'host': 'testasp.vulnweb.com', 'technology': 'cpe:/a:microsoft:internet_information_services:8.5'}",44.238.29.244,shodan_idb,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found TECHNOLOGY: {'host': 'testasp.vulnweb.com', 'technology': 'cpe:/a:microsoft:internet_information_services:8.5'}"
TECHNOLOGY,"{'host': 'testasp.vulnweb.com', 'technology': 'cpe:/o:microsoft:windows'}",44.238.29.244,shodan_idb,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found TECHNOLOGY: {'host': 'testasp.vulnweb.com', 'technology': 'cpe:/o:microsoft:windows'}"
OPEN_TCP_PORT,testasp.vulnweb.com:80,44.238.29.244,shodan_idb,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found OPEN_TCP_PORT: testasp.vulnweb.com:80"
TECHNOLOGY,"{'host': 'testasp.vulnweb.com', 'technology': 'cpe:/a:adobe:dreamweaver'}",44.238.29.244,shodan_idb,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found TECHNOLOGY: {'host': 'testasp.vulnweb.com', 'technology': 'cpe:/a:adobe:dreamweaver'}"
TECHNOLOGY,"{'host': 'testasp.vulnweb.com', 'technology': 'cpe:/a:microsoft:internet_information_services'}",44.238.29.244,shodan_idb,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found TECHNOLOGY: {'host': 'testasp.vulnweb.com', 'technology': 'cpe:/a:microsoft:internet_information_services'}"
TECHNOLOGY,"{'host': 'testasp.vulnweb.com', 'technology': 'cpe:/a:microsoft:asp.net'}",44.238.29.244,shodan_idb,0,"cloud-amazon,cloud-ip,in-scope","Scan anal_roy seeded with DNS_NAME: testasp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testasp.vulnweb.com (44.238.29.244)"" and found TECHNOLOGY: {'host': 'testasp.vulnweb.com', 'technology': 'cpe:/a:microsoft:asp.net'}"
