Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
SCAN,"{'id': 'SCAN:4d2413741b1264bf5603fce6db19208d17dfd43b', 'name': 'reckless_rodriguez', 'target': {'seeds': ['testphp.vulnweb.com'], 'whitelist': ['testphp.vulnweb.com'], 'blacklist': [], 'strict_scope': False, 'hash': 'f648b4fb7cb7af3b8c108752ff7910401a39a7ae', 'seed_hash': '060e92d09292b608bfc470f1a08012ff1ce19a19', 'whitelist_hash': '060e92d09292b608bfc470f1a08012ff1ce19a19', 'blacklist_hash': 'da39a3ee5e6b4b0d3255bfef95601890afd80709', 'scope_hash': '90e62c36b511693c013b011d2fed72c5afb218e5'}, 'preset': {'description': 'reckless_rodriguez', 'config': {'modules': {'telegram': {}}}, 'modules': ['affiliates', 'anubisdb', 'asn', 'baddns', 'baddns_zone', 'badsecrets', 'certspotter', 'code_repository', 'crt', 'dnsbrute', 'dnsbrute_mutations', 'dnscommonsrv', 'dnsdumpster', 'docker_pull', 'dockerhub', 'filedownload', 'fingerprintx', 'git', 'gitlab_com', 'gowitness', 'hackertarget', 'httpx', 'iis_shortnames', 'ipneighbor', 'leakix', 'myssl', 'ntlm', 'nuclei', 'oauth', 'otx', 'portscan', 'rapiddns', 'robots', 'securitytxt', 'shodan_idb', 'sitedossier', 'sslcert', 'subdomaincenter', 'trufflehog', 'urlscan', 'wafw00f', 'wappalyzer', 'wayback', 'wpscan'], 'output_modules': ['asset_inventory', 'subdomains']}, 'started_at': '2025-12-03T16:31:39.374366', 'status': 'RUNNING'}",,TARGET,0,,
DNS_NAME,testphp.vulnweb.com,44.228.249.3,TARGET,0,"a-record,cloud-amazon,cloud-ip,in-scope,subdomain,target,txt-record",Scan reckless_rodriguez seeded with DNS_NAME: testphp.vulnweb.com
ORG_STUB,vulnweb,,speculate,0,,Scan reckless_rodriguez seeded with DNS_NAME: testphp.vulnweb.com --> speculated ORG_STUB: vulnweb
TECHNOLOGY,"{'host': 'testphp.vulnweb.com', 'technology': 'cpe:/a:f5:nginx:1.19.0'}",44.228.249.3,shodan_idb,0,"cloud-amazon,cloud-ip,in-scope","Scan reckless_rodriguez seeded with DNS_NAME: testphp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testphp.vulnweb.com (44.228.249.3)"" and found TECHNOLOGY: {'host': 'testphp.vulnweb.com', 'technology': 'cpe:/a:f5:nginx:1.19.0'}"
ASN,"{'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US', 'asn': '16509', 'subnet': '44.224.0.0/11'}",,asn,1,,"Scan reckless_rodriguez seeded with DNS_NAME: testphp.vulnweb.com --> A record for testphp.vulnweb.com contains IP_ADDRESS: 44.228.249.3 --> asn checked 44.228.249.3 against ripe API and got ASN: AS16509 (AMAZON-02, Amazon.com, Inc., 44.224.0.0/11)"
OPEN_TCP_PORT,testphp.vulnweb.com:80,44.228.249.3,shodan_idb,0,"cloud-amazon,cloud-ip,in-scope","Scan reckless_rodriguez seeded with DNS_NAME: testphp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testphp.vulnweb.com (44.228.249.3)"" and found OPEN_TCP_PORT: testphp.vulnweb.com:80"
FINDING,"{'host': 'testphp.vulnweb.com', 'description': 'Shodan reported possible vulnerabilities: CVE-2021-3618, CVE-2025-23419, CVE-2023-44487, CVE-2021-23017'}",44.228.249.3,shodan_idb,0,"cloud-amazon,cloud-ip,in-scope","Scan reckless_rodriguez seeded with DNS_NAME: testphp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testphp.vulnweb.com (44.228.249.3)"" and found potential FINDING: CVE-2021-3618, CVE-2025-23419, CVE-2023-44487, CVE-2021-23017"
URL,http://testphp.vulnweb.com/,44.228.249.3,httpx,0,"cloud-amazon,cloud-ip,dir,http-title-home-of-acunetix-art,in-scope,ip-44-228-249-3,status-200","Scan reckless_rodriguez seeded with DNS_NAME: testphp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testphp.vulnweb.com (44.228.249.3)"" and found OPEN_TCP_PORT: testphp.vulnweb.com:80 --> httpx visited testphp.vulnweb.com:80 and got status code 200 at http://testphp.vulnweb.com/"
TECHNOLOGY,"{'host': 'testphp.vulnweb.com', 'technology': 'dreamweaver', 'url': 'http://testphp.vulnweb.com/'}",44.228.249.3,httpx->wappalyzer,0,"cloud-amazon,cloud-ip,in-scope","Scan reckless_rodriguez seeded with DNS_NAME: testphp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testphp.vulnweb.com (44.228.249.3)"" and found OPEN_TCP_PORT: testphp.vulnweb.com:80 --> httpx visited testphp.vulnweb.com:80 and got status code 200 at http://testphp.vulnweb.com/ --> HTTP_RESPONSE was 4.84KB with text/html content type --> wappalyzer analyzed HTTP_RESPONSE and identified TECHNOLOGY: dreamweaver"
TECHNOLOGY,"{'host': 'testphp.vulnweb.com', 'technology': 'ubuntu', 'url': 'http://testphp.vulnweb.com/'}",44.228.249.3,httpx->wappalyzer,0,"cloud-amazon,cloud-ip,in-scope","Scan reckless_rodriguez seeded with DNS_NAME: testphp.vulnweb.com --> shodan_idb queried Shodan's InternetDB API for ""testphp.vulnweb.com (44.228.249.3)"" and found OPEN_TCP_PORT: testphp.vulnweb.com:80 --> httpx visited testphp.vulnweb.com:80 and got status code 200 at http://testphp.vulnweb.com/ --> HTTP_RESPONSE was 4.84KB with text/html content type --> wappalyzer analyzed HTTP_RESPONSE and identified TECHNOLOGY: ubuntu"
