Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
SCAN,"{'id': 'SCAN:58412f3be90d348c0d1e303d7b796e628ab0ddba', 'name': 'thick_rodriguez', 'target': {'seeds': ['example.com'], 'whitelist': ['example.com'], 'blacklist': [], 'strict_scope': False, 'hash': '5da2f572da1d1a14c0c42df494b0ab648cd4c4ff', 'seed_hash': '0caaf24ab1a0c33440c06afe99df986365b0781f', 'whitelist_hash': '0caaf24ab1a0c33440c06afe99df986365b0781f', 'blacklist_hash': 'da39a3ee5e6b4b0d3255bfef95601890afd80709', 'scope_hash': 'ac217ad3c68895558f3142a60bab40c9c5b2cdb1'}, 'preset': {'description': 'thick_rodriguez', 'config': {'modules': {'telegram': {}}}, 'modules': ['httpx']}, 'started_at': '2025-12-03T16:09:14.716211', 'status': 'RUNNING'}",,TARGET,0,,
DNS_NAME,example.com,"2600:1406:bc00:53::b81e:94ce,2600:1408:ec00:36::1736:7f31,2600:1406:5e00:6::17ce:bc1b,23.192.228.84,23.215.0.138,2600:1408:ec00:36::1736:7f24,2600:1406:bc00:53::b81e:94c8,2600:1406:5e00:6::17ce:bc12,23.220.75.245,23.192.228.80,23.215.0.136,23.220.75.232",TARGET,0,"a-record,aaaa-record,cdn-akamai,cdn-ip,domain,in-scope,mx-record,ns-record,soa-record,target,txt-record",Scan thick_rodriguez seeded with DNS_NAME: example.com
ORG_STUB,example,,speculate,0,,Scan thick_rodriguez seeded with DNS_NAME: example.com --> speculated ORG_STUB: example
DNS_NAME,b.iana-servers.net,"199.43.133.53,2001:500:8d::53",NS,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan thick_rodriguez seeded with DNS_NAME: example.com --> NS record for example.com contains DNS_NAME: b.iana-servers.net
DNS_NAME,a.iana-servers.net,"199.43.135.53,2001:500:8f::53",NS,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan thick_rodriguez seeded with DNS_NAME: example.com --> NS record for example.com contains DNS_NAME: a.iana-servers.net
DNS_NAME,ns.icann.org,"199.4.138.53,2001:500:89::53",SOA,1,"a-record,aaaa-record,affiliate,distance-1,subdomain",Scan thick_rodriguez seeded with DNS_NAME: example.com --> SOA record for example.com contains DNS_NAME: ns.icann.org
URL,https://example.com/,23.220.75.232,httpx,0,"cdn-akamai,cdn-ip,dir,http-title-example-domain,in-scope,ip-23-220-75-232,status-200",Scan thick_rodriguez seeded with DNS_NAME: example.com --> speculated OPEN_TCP_PORT: example.com:443 --> httpx visited example.com:443 and got status code 200 at https://example.com/
OPEN_TCP_PORT,example.com:443,"2600:1406:bc00:53::b81e:94ce,2600:1408:ec00:36::1736:7f31,2600:1406:5e00:6::17ce:bc1b,23.192.228.84,23.215.0.138,2600:1408:ec00:36::1736:7f24,2600:1406:bc00:53::b81e:94c8,2600:1406:5e00:6::17ce:bc12,23.220.75.245,23.192.228.80,23.215.0.136,23.220.75.232",speculate,0,"cdn-akamai,cdn-ip,in-scope",Scan thick_rodriguez seeded with DNS_NAME: example.com --> speculated OPEN_TCP_PORT: example.com:443
URL,http://example.com/,23.215.0.136,httpx,0,"cdn-akamai,cdn-ip,dir,http-title-example-domain,in-scope,ip-23-215-0-136,status-200",Scan thick_rodriguez seeded with DNS_NAME: example.com --> speculated OPEN_TCP_PORT: example.com:80 --> httpx visited example.com:80 and got status code 200 at http://example.com/
OPEN_TCP_PORT,example.com:80,"2600:1406:bc00:53::b81e:94ce,2600:1408:ec00:36::1736:7f31,2600:1406:5e00:6::17ce:bc1b,23.192.228.84,23.215.0.138,2600:1408:ec00:36::1736:7f24,2600:1406:bc00:53::b81e:94c8,2600:1406:5e00:6::17ce:bc12,23.220.75.245,23.192.228.80,23.215.0.136,23.220.75.232",speculate,0,"cdn-akamai,cdn-ip,in-scope",Scan thick_rodriguez seeded with DNS_NAME: example.com --> speculated OPEN_TCP_PORT: example.com:80
